epoch,loss,best_loss,cpu_usage,epoch_time
1,0,inf,8.1,1780.5928292274475
2,0,inf,83.6,1780.8731932640076
3,4.646319607272744,4.646319607272744,83.5,1799.6397666931152
4,4.570827035233378,4.570827035233378,82.3,1940.5124115943909
5,3.6833853852003813,3.6833853852003813,83.1,1868.8054640293121
6,3.903993735089898,3.6833853852003813,83.1,1802.5339226722717
7,3.925977449864149,3.6833853852003813,82.7,1804.0065882205963
8,4.158180471509695,3.6833853852003813,82.6,1804.7850377559662
9,3.714181672781706,3.6833853852003813,82.5,1806.0899608135223
10,3.7377728689461946,3.6833853852003813,82.5,1806.2895662784576
11,3.5602822937071323,3.5602822937071323,82.5,1805.793613910675
12,3.5356643069535494,3.5356643069535494,82.5,1806.0547757148743
13,3.730437947437167,3.5356643069535494,82.5,1805.94801902771
14,3.630787057802081,3.5356643069535494,82.5,1806.437962770462
15,3.43946885317564,3.43946885317564,82.5,1810.8086347579956
16,3.177549969404936,3.177549969404936,82.5,1809.698501586914
17,3.040659769438207,3.040659769438207,82.5,1806.2991888523102
18,2.9006686275824904,2.9006686275824904,82.4,1839.7538974285126
19,3.249355518259108,2.9006686275824904,81.4,1886.228895187378
20,3.127490660175681,2.9006686275824904,79.9,1897.6754970550537
SUMMARY,2.9006686275824904,2.9006686275824904,83.6,36468.83104610443
